taxa,Bill's zonation,Year,month,average
Calanus finmarchicus,Greenland shel/slope,1995,June,105953.32
Calanus finmarchicus,Greenland shel/slope,1996,May,25209.848
Calanus finmarchicus,Greenland shel/slope,1997,May,22658.76
Calanus finmarchicus,Greenland shel/slope,1998,June,
Calanus finmarchicus,Greenland shel/slope,1999,June,94166.516
Calanus finmarchicus,Greenland shel/slope,2000,May,9668.28
Calanus finmarchicus,Greenland shel/slope,2001,May,92481.912
Calanus finmarchicus,Greenland shel/slope,2002,June,85947.8
Calanus finmarchicus,Greenland shel/slope,2003,June,82259.48
Calanus finmarchicus,Greenland shel/slope,2004,May,46294.744
Calanus finmarchicus,Greenland shel/slope,2005,May,21046.024
Calanus finmarchicus,Greenland shel/slope,2006,May,280903.4714
Calanus finmarchicus,Greenland shel/slope,2007,May,80569
Calanus finmarchicus,Greenland shel/slope,2008,May,8182.686141
Calanus finmarchicus,Greenland shel/slope,2009,May,15575.72124
Calanus finmarchicus,Greenland shel/slope,2010,May,21420.60484
Calanus finmarchicus,Greenland shel/slope,2011,May,19745.23533
Calanus finmarchicus,Greenland shel/slope,2012,May,159252.2575
Calanus finmarchicus,Greenland shel/slope,2013,May,6316.335684
Calanus finmarchicus,Greenland shel/slope,2014,May,11622.35978
Calanus finmarchicus,Greenland shel/slope,2015,May,14360.51843
Calanus finmarchicus,Greenland shel/slope,2016,May,15930.00999
Calanus finmarchicus,Greenland shel/slope,2017,,.
Calanus finmarchicus,Greenland shel/slope,2018,May,13924.35813
Calanus finmarchicus,Greenland shel/slope,2019,June,4562.848
Calanus finmarchicus,Greenland shel/slope,2020,July,
Calanus finmarchicus,Greenland shel/slope,2021,,
Calanus finmarchicus,Greenland shel/slope,2022,May,7248.436012
Calanus finmarchicus,Greenland shel/slope,2023,June,27377.09
Calanus finmarchicus,Labrador bassin,1995,June,79232.96333
Calanus finmarchicus,Labrador bassin,1996,May,16994.748
Calanus finmarchicus,Labrador bassin,1997,May,8274.362222
Calanus finmarchicus,Labrador bassin,1998,June,17679.98
Calanus finmarchicus,Labrador bassin,1999,June,45764.05833
Calanus finmarchicus,Labrador bassin,2000,May,21023.38923
Calanus finmarchicus,Labrador bassin,2001,May,19748.22769
Calanus finmarchicus,Labrador bassin,2002,June,44411.74429
Calanus finmarchicus,Labrador bassin,2003,June,49890.36923
Calanus finmarchicus,Labrador bassin,2004,May,19227.515
Calanus finmarchicus,Labrador bassin,2005,May,17655.98923
Calanus finmarchicus,Labrador bassin,2006,May,14596.12308
Calanus finmarchicus,Labrador bassin,2007,May,43659.54923
Calanus finmarchicus,Labrador bassin,2008,May,13974.09057
Calanus finmarchicus,Labrador bassin,2009,May,16381.62332
Calanus finmarchicus,Labrador bassin,2010,May,10425.70266
Calanus finmarchicus,Labrador bassin,2011,May,23335.42315
Calanus finmarchicus,Labrador bassin,2012,May,19340.04875
Calanus finmarchicus,Labrador bassin,2013,May,24800.31026
Calanus finmarchicus,Labrador bassin,2014,May,7318.710086
Calanus finmarchicus,Labrador bassin,2015,May,6851.21551
Calanus finmarchicus,Labrador bassin,2016,May,7066.803881
Calanus finmarchicus,Labrador bassin,2017,,.
Calanus finmarchicus,Labrador bassin,2018,May,34671.47473
Calanus finmarchicus,Labrador bassin,2019,June,16862
Calanus finmarchicus,Labrador bassin,2020,July,
Calanus finmarchicus,Labrador bassin,2021,,
Calanus finmarchicus,Labrador bassin,2022,May,26078.18711
Calanus finmarchicus,Labrador bassin,2023,June,7359.548
Calanus finmarchicus,Labrador shelf/slope,1995,June,14363.80667
Calanus finmarchicus,Labrador shelf/slope,1996,May,6964.351429
Calanus finmarchicus,Labrador shelf/slope,1997,May,16774.624
Calanus finmarchicus,Labrador shelf/slope,1998,June,13751.34667
Calanus finmarchicus,Labrador shelf/slope,1999,June,40657.4
Calanus finmarchicus,Labrador shelf/slope,2000,May,12923.245
Calanus finmarchicus,Labrador shelf/slope,2001,May,24689.47273
Calanus finmarchicus,Labrador shelf/slope,2002,June,24047.756
Calanus finmarchicus,Labrador shelf/slope,2003,June,14497.07818
Calanus finmarchicus,Labrador shelf/slope,2004,May,6394.3875
Calanus finmarchicus,Labrador shelf/slope,2005,May,6217.26
Calanus finmarchicus,Labrador shelf/slope,2006,May,6187.88
Calanus finmarchicus,Labrador shelf/slope,2007,May,7124.876
Calanus finmarchicus,Labrador shelf/slope,2008,May,7182.687844
Calanus finmarchicus,Labrador shelf/slope,2009,May,18674.17999
Calanus finmarchicus,Labrador shelf/slope,2010,May,10887.61282
Calanus finmarchicus,Labrador shelf/slope,2011,May,35457.49039
Calanus finmarchicus,Labrador shelf/slope,2012,May,15813.22875
Calanus finmarchicus,Labrador shelf/slope,2013,May,13665.60563
Calanus finmarchicus,Labrador shelf/slope,2014,May,11567.52347
Calanus finmarchicus,Labrador shelf/slope,2015,May,9731.424037
Calanus finmarchicus,Labrador shelf/slope,2016,May,11987.86316
Calanus finmarchicus,Labrador shelf/slope,2017,,.
Calanus finmarchicus,Labrador shelf/slope,2018,May,10281.14512
Calanus finmarchicus,Labrador shelf/slope,2019,June,23067
Calanus finmarchicus,Labrador shelf/slope,2020,July,
Calanus finmarchicus,Labrador shelf/slope,2021,,
Calanus finmarchicus,Labrador shelf/slope,2022,May,12264.16238
Calanus finmarchicus,Labrador shelf/slope,2023,June,10111.97
Calanus glacialis,Labrador shelf/slope,1995,June,2681.113333
Calanus glacialis,Labrador shelf/slope,1996,May,1341.471429
Calanus glacialis,Labrador shelf/slope,1997,May,1310.8
Calanus glacialis,Labrador shelf/slope,1998,June,5435.551111
Calanus glacialis,Labrador shelf/slope,1999,June,2994.726
Calanus glacialis,Labrador shelf/slope,2000,May,764.445
Calanus glacialis,Labrador shelf/slope,2001,May,2181.352
Calanus glacialis,Labrador shelf/slope,2002,June,4318.281706
Calanus glacialis,Labrador shelf/slope,2003,June,6873.79
Calanus glacialis,Labrador shelf/slope,2004,May,478.1514286
Calanus glacialis,Labrador shelf/slope,2005,May,1178.364
Calanus glacialis,Labrador shelf/slope,2006,May,2959.161818
Calanus glacialis,Labrador shelf/slope,2007,May,352.56
Calanus glacialis,Labrador shelf/slope,2008,May,2351.599335
Calanus glacialis,Labrador shelf/slope,2009,May,430.072024
Calanus glacialis,Labrador shelf/slope,2010,May,2680.674495
Calanus glacialis,Labrador shelf/slope,2011,May,7028.142712
Calanus glacialis,Labrador shelf/slope,2012,May,1024.508264
Calanus glacialis,Labrador shelf/slope,2013,May,2584.651263
Calanus glacialis,Labrador shelf/slope,2014,May,444.2883729
Calanus glacialis,Labrador shelf/slope,2015,May,648.4574828
Calanus glacialis,Labrador shelf/slope,2016,May,534.1089156
Calanus glacialis,Labrador shelf/slope,2017,,.
Calanus glacialis,Labrador shelf/slope,2018,May,286.4883388
Calanus glacialis,Labrador shelf/slope,2019,June,4256.297005
Calanus glacialis,Labrador shelf/slope,2020,July,1930
Calanus glacialis,Labrador shelf/slope,2021,,
Calanus glacialis,Labrador shelf/slope,2022,May,1805.484744
Calanus glacialis,Labrador shelf/slope,2023,June,736.0258
Calanus glacialis,Labrador bassin,1995,June,836.2
Calanus glacialis,Labrador bassin,1996,June,85.12666667
Calanus glacialis,Labrador bassin,1997,May,38.42
Calanus glacialis,Labrador bassin,1998,May,45.2
Calanus glacialis,Labrador bassin,1999,June,452
Calanus glacialis,Labrador bassin,2000,June,79.1
Calanus glacialis,Labrador bassin,2001,May,186.676
Calanus glacialis,Labrador bassin,2002,May,45.2
Calanus glacialis,Labrador bassin,2003,June,
Calanus glacialis,Labrador bassin,2004,June,36.91333333
Calanus glacialis,Labrador bassin,2005,June,106.8059259
Calanus glacialis,Labrador bassin,2006,May,109.3492308
Calanus glacialis,Labrador bassin,2007,May,223.175
Calanus glacialis,Labrador bassin,2008,May,495.035535
Calanus glacialis,Labrador bassin,2009,May,910.6383342
Calanus glacialis,Labrador bassin,2010,May,255.1483508
Calanus glacialis,Labrador bassin,2011,May,350.445518
Calanus glacialis,Labrador bassin,2012,May,142.9710217
Calanus glacialis,Labrador bassin,2013,May,415.0965076
Calanus glacialis,Labrador bassin,2014,May,54.15537632
Calanus glacialis,Labrador bassin,2015,May,129.937385
Calanus glacialis,Labrador bassin,2016,May,35.10343691
Calanus glacialis,Labrador bassin,2017,,.
Calanus glacialis,Labrador bassin,2018,May,412.5639063
Calanus glacialis,Labrador bassin,2019,June,331.0654233
Calanus glacialis,Labrador bassin,2020,July,241
Calanus glacialis,Labrador bassin,2021,,
Calanus glacialis,Labrador bassin,2022,May,86.97850474
Calanus glacialis,Labrador bassin,2023,June,7.377168
Calanus glacialis,Greenland shel/slope,1995,June,1531.715
Calanus glacialis,Greenland shel/slope,1996,June,2502.272
Calanus glacialis,Greenland shel/slope,1997,May,1408.64963
Calanus glacialis,Greenland shel/slope,1998,May,
Calanus glacialis,Greenland shel/slope,1999,June,1704.542222
Calanus glacialis,Greenland shel/slope,2000,June,22.6
Calanus glacialis,Greenland shel/slope,2001,May,3381.713333
Calanus glacialis,Greenland shel/slope,2002,May,2896.868
Calanus glacialis,Greenland shel/slope,2003,June,2911.700296
Calanus glacialis,Greenland shel/slope,2004,June,2027.32463
Calanus glacialis,Greenland shel/slope,2005,June,2440.348
Calanus glacialis,Greenland shel/slope,2006,May,949.2
Calanus glacialis,Greenland shel/slope,2007,May,1878.562222
Calanus glacialis,Greenland shel/slope,2008,May,1090.270306
Calanus glacialis,Greenland shel/slope,2009,May,979.1414201
Calanus glacialis,Greenland shel/slope,2010,May,917.9101502
Calanus glacialis,Greenland shel/slope,2011,May,1076.519497
Calanus glacialis,Greenland shel/slope,2012,May,2572.284497
Calanus glacialis,Greenland shel/slope,2013,May,268.0234291
Calanus glacialis,Greenland shel/slope,2014,May,188.3554497
Calanus glacialis,Greenland shel/slope,2015,May,32.42374399
Calanus glacialis,Greenland shel/slope,2016,May,55.94847505
Calanus glacialis,Greenland shel/slope,2017,,.
Calanus glacialis,Greenland shel/slope,2018,May,140.7672244
Calanus glacialis,Greenland shel/slope,2019,June,1408.051797
Calanus glacialis,Greenland shel/slope,2020,July,1012
Calanus glacialis,Greenland shel/slope,2021,,
Calanus glacialis,Greenland shel/slope,2022,May,907.8488587
Calanus glacialis,Greenland shel/slope,2023,June,2430.73
Calanus hyperboreus,Labrador shelf/slope,1995,June,2681.113333
Calanus hyperboreus,Labrador shelf/slope,1996,June,4332.097143
Calanus hyperboreus,Labrador shelf/slope,1997,May,8368.328
Calanus hyperboreus,Labrador shelf/slope,1998,May,8299.975556
Calanus hyperboreus,Labrador shelf/slope,1999,June,5639.727273
Calanus hyperboreus,Labrador shelf/slope,2000,June,2654.6525
Calanus hyperboreus,Labrador shelf/slope,2001,May,5270.525455
Calanus hyperboreus,Labrador shelf/slope,2002,May,2849.182
Calanus hyperboreus,Labrador shelf/slope,2003,June,2026.398182
Calanus hyperboreus,Labrador shelf/slope,2004,June,4090.6
Calanus hyperboreus,Labrador shelf/slope,2005,June,3909.389091
Calanus hyperboreus,Labrador shelf/slope,2006,May,11037.01818
Calanus hyperboreus,Labrador shelf/slope,2007,May,1274.64
Calanus hyperboreus,Labrador shelf/slope,2008,May,4789.213075
Calanus hyperboreus,Labrador shelf/slope,2009,May,2640.79313
Calanus hyperboreus,Labrador shelf/slope,2010,May,8785.757062
Calanus hyperboreus,Labrador shelf/slope,2011,May,5677.045782
Calanus hyperboreus,Labrador shelf/slope,2012,May,3236.170247
Calanus hyperboreus,Labrador shelf/slope,2013,May,8286.012297
Calanus hyperboreus,Labrador shelf/slope,2014,May,557.5607246
Calanus hyperboreus,Labrador shelf/slope,2015,May,1172.289142
Calanus hyperboreus,Labrador shelf/slope,2016,May,2099.786407
Calanus hyperboreus,Labrador shelf/slope,2017,,.
Calanus hyperboreus,Labrador shelf/slope,2018,May,848.9096765
Calanus hyperboreus,Labrador shelf/slope,2019,June,4614.924572
Calanus hyperboreus,Labrador shelf/slope,2020,July,
Calanus hyperboreus,Labrador shelf/slope,2021,,
Calanus hyperboreus,Labrador shelf/slope,2022,May,7272.608342
Calanus hyperboreus,Labrador shelf/slope,2023,June,2638.003
Calanus hyperboreus,Labrador bassin,1995,June,1130
Calanus hyperboreus,Labrador bassin,1996,June,979.484
Calanus hyperboreus,Labrador bassin,1997,May,729.7288889
Calanus hyperboreus,Labrador bassin,1998,May,325.1888889
Calanus hyperboreus,Labrador bassin,1999,June,436.9333333
Calanus hyperboreus,Labrador bassin,2000,June,1345.221538
Calanus hyperboreus,Labrador bassin,2001,May,1016.304615
Calanus hyperboreus,Labrador bassin,2002,May,90.4
Calanus hyperboreus,Labrador bassin,2003,June,60.26666667
Calanus hyperboreus,Labrador bassin,2004,June,1569.758333
Calanus hyperboreus,Labrador bassin,2005,June,1305.758462
Calanus hyperboreus,Labrador bassin,2006,May,1093.318462
Calanus hyperboreus,Labrador bassin,2007,May,2964.076923
Calanus hyperboreus,Labrador bassin,2008,May,887.364531
Calanus hyperboreus,Labrador bassin,2009,May,1294.859225
Calanus hyperboreus,Labrador bassin,2010,May,648.0436115
Calanus hyperboreus,Labrador bassin,2011,May,1108.175618
Calanus hyperboreus,Labrador bassin,2012,May,587.9929605
Calanus hyperboreus,Labrador bassin,2013,May,2328.831688
Calanus hyperboreus,Labrador bassin,2014,May,577.9076013
Calanus hyperboreus,Labrador bassin,2015,May,885.5704598
Calanus hyperboreus,Labrador bassin,2016,May,1227.260953
Calanus hyperboreus,Labrador bassin,2017,,.
Calanus hyperboreus,Labrador bassin,2018,May,3237.525682
Calanus hyperboreus,Labrador bassin,2019,June,468.2387444
Calanus hyperboreus,Labrador bassin,2020,July,
Calanus hyperboreus,Labrador bassin,2021,,
Calanus hyperboreus,Labrador bassin,2022,May,1635.765266
Calanus hyperboreus,Labrador bassin,2023,June,490.5932
Calanus hyperboreus,Greenland shel/slope,1995,June,1345.83
Calanus hyperboreus,Greenland shel/slope,1996,June,5052.004
Calanus hyperboreus,Greenland shel/slope,1997,May,1001.18
Calanus hyperboreus,Greenland shel/slope,1998,May,
Calanus hyperboreus,Greenland shel/slope,1999,June,2549.28
Calanus hyperboreus,Greenland shel/slope,2000,June,1942.47
Calanus hyperboreus,Greenland shel/slope,2001,May,4687.24
Calanus hyperboreus,Greenland shel/slope,2002,May,2779.8
Calanus hyperboreus,Greenland shel/slope,2003,June,847.5
Calanus hyperboreus,Greenland shel/slope,2004,June,2439.896
Calanus hyperboreus,Greenland shel/slope,2005,June,2297.064
Calanus hyperboreus,Greenland shel/slope,2006,May,4629.125714
Calanus hyperboreus,Greenland shel/slope,2007,May,2452.1
Calanus hyperboreus,Greenland shel/slope,2008,May,969.5483348
Calanus hyperboreus,Greenland shel/slope,2009,May,4634.430262
Calanus hyperboreus,Greenland shel/slope,2010,May,3992.313328
Calanus hyperboreus,Greenland shel/slope,2011,May,4660.044202
Calanus hyperboreus,Greenland shel/slope,2012,May,4736.691895
Calanus hyperboreus,Greenland shel/slope,2013,May,2037.050391
Calanus hyperboreus,Greenland shel/slope,2014,May,3079.312672
Calanus hyperboreus,Greenland shel/slope,2015,May,2480.352898
Calanus hyperboreus,Greenland shel/slope,2016,May,3478.389413
Calanus hyperboreus,Greenland shel/slope,2017,,.
Calanus hyperboreus,Greenland shel/slope,2018,May,1117.51628
Calanus hyperboreus,Greenland shel/slope,2019,June,5278.804
Calanus hyperboreus,Greenland shel/slope,2020,July,
Calanus hyperboreus,Greenland shel/slope,2021,,
Calanus hyperboreus,Greenland shel/slope,2022,May,1874.464543
Calanus hyperboreus,Greenland shel/slope,2023,June,3801.476
%PDI,Labrador shelf/slope,1995,June,87.2
%PDI,Labrador shelf/slope,1996,June,3.8
%PDI,Labrador shelf/slope,1997,May,77.7
%PDI,Labrador shelf/slope,1998,May,48.48396649
%PDI,Labrador shelf/slope,1999,June,66.2427231
%PDI,Labrador shelf/slope,2000,June,8.830709584
%PDI,Labrador shelf/slope,2001,May,38.83838709
%PDI,Labrador shelf/slope,2002,May,41.98571442
%PDI,Labrador shelf/slope,2003,June,39.02156853
%PDI,Labrador shelf/slope,2004,June,3
%PDI,Labrador shelf/slope,2005,June,35.8
%PDI,Labrador shelf/slope,2006,May,20.1
%PDI,Labrador shelf/slope,2007,May,1.6
%PDI,Labrador shelf/slope,2008,May,22.7
%PDI,Labrador shelf/slope,2009,May,3.4
%PDI,Labrador shelf/slope,2010,May,52.2
%PDI,Labrador shelf/slope,2011,May,69.2
%PDI,Labrador shelf/slope,2012,May,25.4
%PDI,Labrador shelf/slope,2013,May,12.1
%PDI,Labrador shelf/slope,2014,May,3.8
%PDI,Labrador shelf/slope,2015,May,5.3
%PDI,Labrador shelf/slope,2016,May,1.119242544
%PDI,Labrador shelf/slope,2017,,.
%PDI,Labrador shelf/slope,2018,May,28.21294292
%PDI,Labrador shelf/slope,2019,June,78.89919721
%PDI,Labrador shelf/slope,2020,July,
%PDI,Labrador shelf/slope,2021,,
%PDI,Labrador shelf/slope,2022,May,20.90535937
%PDI,Labrador shelf/slope,2023,June,34.4
%PDI,Labrador basin,1995,June,41.9
%PDI,Labrador basin,1996,June,0.9
%PDI,Labrador basin,1997,May,6.9
%PDI,Labrador basin,1998,May,24.8526734
%PDI,Labrador basin,1999,June,29.89261474
%PDI,Labrador basin,2000,June,2.423107718
%PDI,Labrador basin,2001,May,9.920537397
%PDI,Labrador basin,2002,May,64.49953134
%PDI,Labrador basin,2003,June,10.40769563
%PDI,Labrador basin,2004,June,12.7
%PDI,Labrador basin,2005,June,33.6
%PDI,Labrador basin,2006,May,40.4
%PDI,Labrador basin,2007,May,9.5
%PDI,Labrador basin,2008,May,21.7
%PDI,Labrador basin,2009,May,7.9
%PDI,Labrador basin,2010,May,67.7
%PDI,Labrador basin,2011,May,5.4
%PDI,Labrador basin,2012,May,63.3
%PDI,Labrador basin,2013,May,3
%PDI,Labrador basin,2014,May,28.6
%PDI,Labrador basin,2015,May,15.64
%PDI,Labrador basin,2016,May,2.518324037
%PDI,Labrador basin,2017,,.
%PDI,Labrador basin,2018,May,45.97068621
%PDI,Labrador basin,2019,June,35.08684143
%PDI,Labrador basin,2020,July,
%PDI,Labrador basin,2021,,
%PDI,Labrador basin,2022,May,69.4779987
%PDI,Labrador basin,2023,June,24.1
%PDI,Greenland Shelf,1995,June,39.5
%PDI,Greenland Shelf,1996,June,71.6
%PDI,Greenland Shelf,1997,May,56.9
%PDI,Greenland Shelf,1998,May,34.58542714
%PDI,Greenland Shelf,1999,June,67.21413651
%PDI,Greenland Shelf,2000,June,75.79180509
%PDI,Greenland Shelf,2001,May,88.14279605
%PDI,Greenland Shelf,2002,May,79.27372941
%PDI,Greenland Shelf,2003,June,15.89833929
%PDI,Greenland Shelf,2004,June,50.1
%PDI,Greenland Shelf,2005,June,50.1
%PDI,Greenland Shelf,2006,May,83.9
%PDI,Greenland Shelf,2007,May,90.4
%PDI,Greenland Shelf,2008,May,23.7
%PDI,Greenland Shelf,2009,May,70.4
%PDI,Greenland Shelf,2010,May,55.3
%PDI,Greenland Shelf,2011,May,79.1
%PDI,Greenland Shelf,2012,May,84.4
%PDI,Greenland Shelf,2013,May,53
%PDI,Greenland Shelf,2014,May,53.3
%PDI,Greenland Shelf,2015,May,52.21
%PDI,Greenland Shelf,2016,May,33.4926478
%PDI,Greenland Shelf,2017,,.
%PDI,Greenland Shelf,2018,May,9.457798963
%PDI,Greenland Shelf,2019,June,49.3992
%PDI,Greenland Shelf,2020,July,
%PDI,Greenland Shelf,2021,,
%PDI,Greenland Shelf,2022,May,48.63669355
%PDI,Greenland Shelf,2023,June,59.6
Pseudocalanus,Labrador shelf/slope,1995,June,25066.41333
Pseudocalanus,Labrador shelf/slope,1996,May,4656.568571
Pseudocalanus,Labrador shelf/slope,1997,May,9482.96
Pseudocalanus,Labrador shelf/slope,1998,June,24537.95
Pseudocalanus,Labrador shelf/slope,1999,June,20819.87333
Pseudocalanus,Labrador shelf/slope,2000,May,3829.085714
