taxa,Bill's zonation,Year,month,average
Pseudocalanus,Labrador shelf/slope,2001,May,8657.443636
Pseudocalanus,Labrador shelf/slope,2002,June,7871.257143
Pseudocalanus,Labrador shelf/slope,2003,June,22975.98182
Pseudocalanus,Labrador shelf/slope,2004,May,3709.628571
Pseudocalanus,Labrador shelf/slope,2005,May,7876.1
Pseudocalanus,Labrador shelf/slope,2006,May,19057.96364
Pseudocalanus,Labrador shelf/slope,2007,May,1997.84
Pseudocalanus,Labrador shelf/slope,2008,May,5789.205383
Pseudocalanus,Labrador shelf/slope,2009,May,284.8284019
Pseudocalanus,Labrador shelf/slope,2010,May,6628.929693
Pseudocalanus,Labrador shelf/slope,2011,May,12245.4479
Pseudocalanus,Labrador shelf/slope,2012,May,5610.684457
Pseudocalanus,Labrador shelf/slope,2013,May,15093.11244
Pseudocalanus,Labrador shelf/slope,2014,May,3571.937214
Pseudocalanus,Labrador shelf/slope,2015,May,1986.115536
Pseudocalanus,Labrador shelf/slope,2016,May,1516.444485
Pseudocalanus,Labrador shelf/slope,2017,,.
Pseudocalanus,Labrador shelf/slope,2018,May,323.9391654
Pseudocalanus,Labrador shelf/slope,2019,June,9243.118098
Pseudocalanus,Labrador shelf/slope,2020,July,
Pseudocalanus,Labrador shelf/slope,2021,,
Pseudocalanus,Labrador shelf/slope,2022,May,12108.31475
Pseudocalanus,Labrador shelf/slope,2023,June,5639.087
Pseudocalanus,Labrador bassin,1995,June,336.74
Pseudocalanus,Labrador bassin,1996,June,55.37
Pseudocalanus,Labrador bassin,1997,May,220.7266667
Pseudocalanus,Labrador bassin,1998,May,82.49
Pseudocalanus,Labrador bassin,1999,June,51.65714286
Pseudocalanus,Labrador bassin,2000,June,81.36
Pseudocalanus,Labrador bassin,2001,May,110.74
Pseudocalanus,Labrador bassin,2002,May,161.364
Pseudocalanus,Labrador bassin,2003,June,0
Pseudocalanus,Labrador bassin,2004,June,98.31
Pseudocalanus,Labrador bassin,2005,June,111.3857143
Pseudocalanus,Labrador bassin,2006,May,70.31111111
Pseudocalanus,Labrador bassin,2007,May,46.6125
Pseudocalanus,Labrador bassin,2008,May,295.5173264
Pseudocalanus,Labrador bassin,2009,May,215.9791524
Pseudocalanus,Labrador bassin,2010,May,235.4078447
Pseudocalanus,Labrador bassin,2011,May,310.0450454
Pseudocalanus,Labrador bassin,2012,May,191.7556997
Pseudocalanus,Labrador bassin,2013,May,155.6749687
Pseudocalanus,Labrador bassin,2014,May,147.0302514
Pseudocalanus,Labrador bassin,2015,May,323.2884563
Pseudocalanus,Labrador bassin,2016,May,266.0793856
Pseudocalanus,Labrador bassin,2017,,.
Pseudocalanus,Labrador bassin,2018,May,136.8063731
Pseudocalanus,Labrador bassin,2019,June,313.1360264
Pseudocalanus,Labrador bassin,2020,July,
Pseudocalanus,Labrador bassin,2021,,
Pseudocalanus,Labrador bassin,2022,May,1382.670658
Pseudocalanus,Labrador bassin,2023,June,206.4462
Pseudocalanus,Greenland shel/slope,1995,June,2659.731455
Pseudocalanus,Greenland shel/slope,1996,June,514.9975
Pseudocalanus,Greenland shel/slope,1997,May,226
Pseudocalanus,Greenland shel/slope,1998,May,
Pseudocalanus,Greenland shel/slope,1999,June,2163.95
Pseudocalanus,Greenland shel/slope,2000,June,579.69
Pseudocalanus,Greenland shel/slope,2001,May,1137.91
Pseudocalanus,Greenland shel/slope,2002,May,8394.285714
Pseudocalanus,Greenland shel/slope,2003,June,3080.38
Pseudocalanus,Greenland shel/slope,2004,June,828.6666667
Pseudocalanus,Greenland shel/slope,2005,June,1764.306667
Pseudocalanus,Greenland shel/slope,2006,May,1023.369091
Pseudocalanus,Greenland shel/slope,2007,May,268.375
Pseudocalanus,Greenland shel/slope,2008,May,460.7914543
Pseudocalanus,Greenland shel/slope,2009,May,1955.025263
Pseudocalanus,Greenland shel/slope,2010,May,890.4293343
Pseudocalanus,Greenland shel/slope,2011,May,1459.682598
Pseudocalanus,Greenland shel/slope,2012,May,2205.496804
Pseudocalanus,Greenland shel/slope,2013,May,559.36726
Pseudocalanus,Greenland shel/slope,2014,May,2372.519154
Pseudocalanus,Greenland shel/slope,2015,May,1073.629687
Pseudocalanus,Greenland shel/slope,2016,May,210.3189533
Pseudocalanus,Greenland shel/slope,2017,,.
Pseudocalanus,Greenland shel/slope,2018,May,749.4614879
Pseudocalanus,Greenland shel/slope,2019,June,2372.011
Pseudocalanus,Greenland shel/slope,2020,July,
Pseudocalanus,Greenland shel/slope,2021,,
Pseudocalanus,Greenland shel/slope,2022,May,886.285997
Pseudocalanus,Greenland shel/slope,2023,June,3060.085
Oithona,Labrador shelf/slope,1995,June,15697.20667
Oithona,Labrador shelf/slope,1996,May,16956.78
Oithona,Labrador shelf/slope,1997,May,16109.28
Oithona,Labrador shelf/slope,1998,June,14288.22222
Oithona,Labrador shelf/slope,1999,June,27164.99455
Oithona,Labrador shelf/slope,2000,May,22213.21714
Oithona,Labrador shelf/slope,2001,May,21198.8
Oithona,Labrador shelf/slope,2002,June,24988.368
Oithona,Labrador shelf/slope,2003,June,42393.08
Oithona,Labrador shelf/slope,2004,May,19172.87143
Oithona,Labrador shelf/slope,2005,May,24161.45455
Oithona,Labrador shelf/slope,2006,May,54437.75
Oithona,Labrador shelf/slope,2007,May,5017.2
Oithona,Labrador shelf/slope,2008,May,30158.61205
Oithona,Labrador shelf/slope,2009,May,10768.77713
Oithona,Labrador shelf/slope,2010,May,34567.44313
Oithona,Labrador shelf/slope,2011,May,46381.08264
Oithona,Labrador shelf/slope,2012,May,35508.00564
Oithona,Labrador shelf/slope,2013,May,41823.21653
Oithona,Labrador shelf/slope,2014,May,8644.531246
Oithona,Labrador shelf/slope,2015,May,9437.092543
Oithona,Labrador shelf/slope,2016,May,27081.00888
Oithona,Labrador shelf/slope,2017,,.
Oithona,Labrador shelf/slope,2018,May,3606.745
Oithona,Labrador shelf/slope,2019,June,6314.779
Oithona,Labrador shelf/slope,2020,July,
Oithona,Labrador shelf/slope,2021,,
Oithona,Labrador shelf/slope,2022,May,41029.42333
Oithona,Labrador shelf/slope,2023,June,47812.35
Oithona,Labrador bassin,1995,June,161493.95
Oithona,Labrador bassin,1996,June,2698.44
Oithona,Labrador bassin,1997,May,11726.13556
Oithona,Labrador bassin,1998,May,47829.51
Oithona,Labrador bassin,1999,June,39568.83333
Oithona,Labrador bassin,2000,June,10222.15385
Oithona,Labrador bassin,2001,May,18222.03231
Oithona,Labrador bassin,2002,May,67719.28571
Oithona,Labrador bassin,2003,June,132818.1138
Oithona,Labrador bassin,2004,June,7170.038333
Oithona,Labrador bassin,2005,June,24321.07692
Oithona,Labrador bassin,2006,May,41305.49846
Oithona,Labrador bassin,2007,May,7136.384615
Oithona,Labrador bassin,2008,May,24901.80862
Oithona,Labrador bassin,2009,May,11418.67341
Oithona,Labrador bassin,2010,May,29726.49942
Oithona,Labrador bassin,2011,May,19067.12053
Oithona,Labrador bassin,2012,May,20556.48244
Oithona,Labrador bassin,2013,May,9383.533959
Oithona,Labrador bassin,2014,May,8039.267336
Oithona,Labrador bassin,2015,May,5364.072046
Oithona,Labrador bassin,2016,May,6288.746188
Oithona,Labrador bassin,2017,,.
Oithona,Labrador bassin,2018,May,6097.791774
Oithona,Labrador bassin,2019,June,7948.61
Oithona,Labrador bassin,2020,July,
Oithona,Labrador bassin,2021,,
Oithona,Labrador bassin,2022,May,13785.53206
Oithona,Labrador bassin,2023,June,9292.981
Oithona,Greenland shel/slope,1995,June,31661.47
Oithona,Greenland shel/slope,1996,June,1795.796
Oithona,Greenland shel/slope,1997,May,12102.3
Oithona,Greenland shel/slope,1998,May,
Oithona,Greenland shel/slope,1999,June,43618
Oithona,Greenland shel/slope,2000,June,9153
Oithona,Greenland shel/slope,2001,May,22176.024
Oithona,Greenland shel/slope,2002,May,30615.316
Oithona,Greenland shel/slope,2003,June,40047.2
Oithona,Greenland shel/slope,2004,June,7781.18
Oithona,Greenland shel/slope,2005,June,24995.6
Oithona,Greenland shel/slope,2006,May,10210.35714
Oithona,Greenland shel/slope,2007,May,5491.8
Oithona,Greenland shel/slope,2008,May,14301.78108
Oithona,Greenland shel/slope,2009,May,33455.07639
Oithona,Greenland shel/slope,2010,May,16919.93884
Oithona,Greenland shel/slope,2011,May,7066.548823
Oithona,Greenland shel/slope,2012,May,87715.45153
Oithona,Greenland shel/slope,2013,May,20512.8711
Oithona,Greenland shel/slope,2014,May,20975.87725
Oithona,Greenland shel/slope,2015,May,4588.592907
Oithona,Greenland shel/slope,2016,May,6653.301871
Oithona,Greenland shel/slope,2017,,.
Oithona,Greenland shel/slope,2018,May,6100.29454
Oithona,Greenland shel/slope,2019,June,5454.208
Oithona,Greenland shel/slope,2020,July,
Oithona,Greenland shel/slope,2021,,
Oithona,Greenland shel/slope,2022,May,9836.408541
Oithona,Greenland shel/slope,2023,June,19693.73
Amphipoda,Labrador shelf/slope,1995,June,600.03
Amphipoda,Labrador shelf/slope,1996,May,723.2
Amphipoda,Labrador shelf/slope,1997,May,2101.8
Amphipoda,Labrador shelf/slope,1998,June,1005.7
Amphipoda,Labrador shelf/slope,1999,June,519.8
Amphipoda,Labrador shelf/slope,2000,May,879.14
Amphipoda,Labrador shelf/slope,2001,May,704.0927273
Amphipoda,Labrador shelf/slope,2002,June,1978.755556
Amphipoda,Labrador shelf/slope,2003,June,804.334
Amphipoda,Labrador shelf/slope,2004,May,220.5114286
Amphipoda,Labrador shelf/slope,2005,May,983.8533333
Amphipoda,Labrador shelf/slope,2006,May,1079.663636
Amphipoda,Labrador shelf/slope,2007,May,76.84
Amphipoda,Labrador shelf/slope,2008,May,2056.465253
Amphipoda,Labrador shelf/slope,2009,May,1314.737722
Amphipoda,Labrador shelf/slope,2010,May,1589.002952
Amphipoda,Labrador shelf/slope,2011,May,803.2499005
Amphipoda,Labrador shelf/slope,2012,May,1254.95239
Amphipoda,Labrador shelf/slope,2013,May,1867.267322
Amphipoda,Labrador shelf/slope,2014,May,129.9156144
Amphipoda,Labrador shelf/slope,2015,May,645.3410175
Amphipoda,Labrador shelf/slope,2016,May,800.5165904
Amphipoda,Labrador shelf/slope,2017,,.
Amphipoda,Labrador shelf/slope,2018,May,629.4367512
Amphipoda,Labrador shelf/slope,2019,June,290.5851308
Amphipoda,Labrador shelf/slope,2020,July,
Amphipoda,Labrador shelf/slope,2021,,
Amphipoda,Labrador shelf/slope,2022,May,424.1142354
Amphipoda,Labrador shelf/slope,2023,June,263.1428
Amphipoda,Labrador bassin,1995,June,2653.805
Amphipoda,Labrador bassin,1996,June,843.6257143
Amphipoda,Labrador bassin,1997,May,891.9466667
Amphipoda,Labrador bassin,1998,May,1858.042857
Amphipoda,Labrador bassin,1999,June,1124.35
Amphipoda,Labrador bassin,2000,June,899.7625
Amphipoda,Labrador bassin,2001,May,873.8666667
Amphipoda,Labrador bassin,2002,May,4177.735556
Amphipoda,Labrador bassin,2003,June,509.7555556
Amphipoda,Labrador bassin,2004,June,882.2475
Amphipoda,Labrador bassin,2005,June,1021.52
Amphipoda,Labrador bassin,2006,May,950.4555556
Amphipoda,Labrador bassin,2007,May,957.9888889
Amphipoda,Labrador bassin,2008,May,2490.058335
Amphipoda,Labrador bassin,2009,May,1232.370127
Amphipoda,Labrador bassin,2010,May,1457.902586
Amphipoda,Labrador bassin,2011,May,1772.480376
Amphipoda,Labrador bassin,2012,May,2877.945867
Amphipoda,Labrador bassin,2013,May,3454.33867
Amphipoda,Labrador bassin,2014,May,979.140911
Amphipoda,Labrador bassin,2015,May,2819.001706
Amphipoda,Labrador bassin,2016,May,795.9117709
Amphipoda,Labrador bassin,2017,,.
Amphipoda,Labrador bassin,2018,May,1810.773302
Amphipoda,Labrador bassin,2019,June,275.2364628
Amphipoda,Labrador bassin,2020,July,
Amphipoda,Labrador bassin,2021,,
Amphipoda,Labrador bassin,2022,May,153.2027719
Amphipoda,Labrador bassin,2023,June,78.33434
Amphipoda,Greenland shel/slope,1995,June,1227.18
Amphipoda,Greenland shel/slope,1996,June,1585.1075
Amphipoda,Greenland shel/slope,1997,May,918.8514286
Amphipoda,Greenland shel/slope,1998,May,1476.533333
Amphipoda,Greenland shel/slope,1999,June,4514.400222
Amphipoda,Greenland shel/slope,2000,June,10194.10667
Amphipoda,Greenland shel/slope,2001,May,2289.38
Amphipoda,Greenland shel/slope,2002,May,5062.651111
Amphipoda,Greenland shel/slope,2003,June,728.2222222
Amphipoda,Greenland shel/slope,2004,June,1308.54
Amphipoda,Greenland shel/slope,2005,June,2190.944444
Amphipoda,Greenland shel/slope,2006,May,4206.270909
Amphipoda,Greenland shel/slope,2007,May,4000.2
Amphipoda,Greenland shel/slope,2008,May,3293.446289
Amphipoda,Greenland shel/slope,2009,May,2287.010685
Amphipoda,Greenland shel/slope,2010,May,2374.093982
Amphipoda,Greenland shel/slope,2011,May,2520.120627
Amphipoda,Greenland shel/slope,2012,May,7112.269812
Amphipoda,Greenland shel/slope,2013,May,2994.517239
Amphipoda,Greenland shel/slope,2014,May,3290.141077
Amphipoda,Greenland shel/slope,2015,May,5156.385535
Amphipoda,Greenland shel/slope,2016,May,2065.849748
Amphipoda,Greenland shel/slope,2017,,.
Amphipoda,Greenland shel/slope,2018,May,1537.08272
Amphipoda,Greenland shel/slope,2019,June,48.31058
Amphipoda,Greenland shel/slope,2020,July,
Amphipoda,Greenland shel/slope,2021,,
Amphipoda,Greenland shel/slope,2022,May,828.5745416
Amphipoda,Greenland shel/slope,2023,June,31.51979
Euphausid,Labrador shelf/slope,1995,June,151.42
Euphausid,Labrador shelf/slope,1996,May,406.8
Euphausid,Labrador shelf/slope,1997,May,1934.56
Euphausid,Labrador shelf/slope,1998,June,917.8111111
Euphausid,Labrador shelf/slope,1999,June,416.97
Euphausid,Labrador shelf/slope,2000,May,532.7142857
Euphausid,Labrador shelf/slope,2001,May,596.9225
Euphausid,Labrador shelf/slope,2002,June,3164
Euphausid,Labrador shelf/slope,2003,June,852.8675
Euphausid,Labrador shelf/slope,2004,May,311.1266667
Euphausid,Labrador shelf/slope,2005,May,1572.96
Euphausid,Labrador shelf/slope,2006,May,406.8
Euphausid,Labrador shelf/slope,2007,May,60.26666667
Euphausid,Labrador shelf/slope,2008,May,2452.703986
Euphausid,Labrador shelf/slope,2009,May,1254.376737
Euphausid,Labrador shelf/slope,2010,May,1326.432663
Euphausid,Labrador shelf/slope,2011,May,552.8963131
Euphausid,Labrador shelf/slope,2012,May,1323.982706
Euphausid,Labrador shelf/slope,2013,May,1813.735569
Euphausid,Labrador shelf/slope,2014,May,201.740791
Euphausid,Labrador shelf/slope,2015,May,332.4571347
Euphausid,Labrador shelf/slope,2016,May,786.2822062
Euphausid,Labrador shelf/slope,2017,,.
Euphausid,Labrador shelf/slope,2018,May,606.3546389
Euphausid,Labrador shelf/slope,2019,June,953.3102376
Euphausid,Labrador shelf/slope,2020,July,
Euphausid,Labrador shelf/slope,2021,,
Euphausid,Labrador shelf/slope,2022,May,2126.489486
Euphausid,Labrador shelf/slope,2023,June,1636.697
Euphausid,Labrador bassin,1995,June,1260.326667
Euphausid,Labrador bassin,1996,June,839.816
Euphausid,Labrador bassin,1997,May,567.26
Euphausid,Labrador bassin,1998,May,1345.83
Euphausid,Labrador bassin,1999,June,2582.991667
Euphausid,Labrador bassin,2000,June,3325.155385
Euphausid,Labrador bassin,2001,May,1342.092308
Euphausid,Labrador bassin,2002,May,5178.628571
Euphausid,Labrador bassin,2003,June,433.3984615
Euphausid,Labrador bassin,2004,June,710.8727273
Euphausid,Labrador bassin,2005,June,1253.430769
Euphausid,Labrador bassin,2006,May,2228.707692
Euphausid,Labrador bassin,2007,May,910.4323077
Euphausid,Labrador bassin,2008,May,2036.196602
Euphausid,Labrador bassin,2009,May,1128.28612
Euphausid,Labrador bassin,2010,May,1160.160685
Euphausid,Labrador bassin,2011,May,1874.0172
Euphausid,Labrador bassin,2012,May,3757.071696
Euphausid,Labrador bassin,2013,May,3299.450113
Euphausid,Labrador bassin,2014,May,482.6065347
Euphausid,Labrador bassin,2015,May,1192.290754
Euphausid,Labrador bassin,2016,May,328.6580879
Euphausid,Labrador bassin,2017,,.
Euphausid,Labrador bassin,2018,May,1109.517949
Euphausid,Labrador bassin,2019,June,813.3918334
Euphausid,Labrador bassin,2020,July,
Euphausid,Labrador bassin,2021,,
Euphausid,Labrador bassin,2022,May,2402.67107
Euphausid,Labrador bassin,2023,June,1141.664
Euphausid,Greenland shel/slope,1995,June,1175.2
Euphausid,Greenland shel/slope,1996,June,283.404
Euphausid,Greenland shel/slope,1997,May,793.825
Euphausid,Greenland shel/slope,1998,May,
Euphausid,Greenland shel/slope,1999,June,2906.6764
Euphausid,Greenland shel/slope,2000,June,9740.6
Euphausid,Greenland shel/slope,2001,May,1268.764
Euphausid,Greenland shel/slope,2002,May,1112.372
Euphausid,Greenland shel/slope,2003,June,668.96
Euphausid,Greenland shel/slope,2004,June,456.972
Euphausid,Greenland shel/slope,2005,June,1279.16
Euphausid,Greenland shel/slope,2006,May,2863.742857
Euphausid,Greenland shel/slope,2007,May,7277.2
Euphausid,Greenland shel/slope,2008,May,3055.774907
Euphausid,Greenland shel/slope,2009,May,2082.454011
Euphausid,Greenland shel/slope,2010,May,2854.886001
Euphausid,Greenland shel/slope,2011,May,2602.445916
Euphausid,Greenland shel/slope,2012,May,7124.576784
Euphausid,Greenland shel/slope,2013,May,3045.91016
Euphausid,Greenland shel/slope,2014,May,2595.113733
Euphausid,Greenland shel/slope,2015,May,1599.847026
Euphausid,Greenland shel/slope,2016,May,484.4587024
Euphausid,Greenland shel/slope,2017,,.
Euphausid,Greenland shel/slope,2018,May,530.2422861
Euphausid,Greenland shel/slope,2019,June,873.8988
Euphausid,Greenland shel/slope,2020,July,
Euphausid,Greenland shel/slope,2021,,
Euphausid,Greenland shel/slope,2022,May,1318.116893
Euphausid,Greenland shel/slope,2023,June,3002.732
Centric Diatoms,Labrador shelf/slope,2009,May,943.1
Centric Diatoms,Labrador shelf/slope,2010,May,79921
Centric Diatoms,Labrador shelf/slope,2011,May,2749866
Centric Diatoms,Labrador shelf/slope,2012,May,325362.3
Centric Diatoms,Labrador shelf/slope,2013,May,1410402.6
Centric Diatoms,Labrador shelf/slope,2014,May,13674.9
Centric Diatoms,Labrador shelf/slope,2015,May,33288.4
Centric Diatoms,Labrador shelf/slope,2016,May,38862.8
Centric Diatoms,Labrador shelf/slope,2017,,.
Centric Diatoms,Labrador shelf/slope,2018,May,86306
Centric Diatoms,Labrador shelf/slope,2019,June,745717.4794
Centric Diatoms,Labrador shelf/slope,2020,July,
Centric Diatoms,Labrador shelf/slope,2021,,
Centric Diatoms,Labrador shelf/slope,2022,May,4657632
Centric Diatoms,Labrador shelf/slope,2023,June,2596604
Centric Diatoms,Labrador bassin,2009,May,461.2
Centric Diatoms,Labrador bassin,2010,May,2007.4
Centric Diatoms,Labrador bassin,2011,May,2146.5
Centric Diatoms,Labrador bassin,2012,May,296.1
Centric Diatoms,Labrador bassin,2013,May,3817
Centric Diatoms,Labrador bassin,2014,May,368.1
Centric Diatoms,Labrador bassin,2015,May,224.7
Centric Diatoms,Labrador bassin,2016,May,73.3
Centric Diatoms,Labrador bassin,2017,,.
Centric Diatoms,Labrador bassin,2018,May,439.7
Centric Diatoms,Labrador bassin,2019,June,1051.729986
Centric Diatoms,Labrador bassin,2020,July,
Centric Diatoms,Labrador bassin,2021,,
Centric Diatoms,Labrador bassin,2022,May,9394.36
Centric Diatoms,Labrador bassin,2023,June,279.3917
Centric Diatoms,Greenland shel/slope,2009,May,18247.5
Centric Diatoms,Greenland shel/slope,2010,May,13908
Centric Diatoms,Greenland shel/slope,2011,May,33131.4
Centric Diatoms,Greenland shel/slope,2012,May,73196.1
Centric Diatoms,Greenland shel/slope,2013,May,22149.5
Centric Diatoms,Greenland shel/slope,2014,May,21340.8
Centric Diatoms,Greenland shel/slope,2015,May,525.1
Centric Diatoms,Greenland shel/slope,2016,May,10399
Centric Diatoms,Greenland shel/slope,2017,,.
Centric Diatoms,Greenland shel/slope,2018,May,708.6
Centric Diatoms,Greenland shel/slope,2019,June,113010.8
Centric Diatoms,Greenland shel/slope,2020,July,
Centric Diatoms,Greenland shel/slope,2021,,
Centric Diatoms,Greenland shel/slope,2022,May,9248.126
Centric Diatoms,Greenland shel/slope,2023,June,7078.437
